locationname,locationtown,locationregion,locationarea,waterbodyid,locationtownid,exportname,wbtextid,wbofficialname,wbtownname,wbregion,wbarea,wbbasinarea,wbelevation,wbmaxdepth,wbmeandepth,wboutlettype,wbfullname,wbtype,wbcenterlatitude,wbcenterlongitude,wbgeocentroid,wbgeoborder
Baker (Brookfield),Brookfield,ec,35,BAKER (BRKFLD),218,BAKER (BRKFLD),BAKER (BRKFLD),Baker Pond,Brookfield,East Central,35,1067,1290,10,3,ARTIFICIAL,Baker Pond Brookfield,Reservoir,44.07,-72.63,,
Bald Hill,Westmore,nek,108,BALD HILL,34,BALD HILL,BALD HILL,Bald Hill Pond,Westmore,NE Kingdom,108,2588,1794,42,16,NATURAL,Bald Hill Pond Westmore,Pond,44.7394947,-71.9778742,,
Ball Mountain,Jamaica,gm-s,85,BALL MOUNTAIN,168,BALL MOUNTAIN,BALL MOUNTAIN,Ball Mountain Reservoir,Jamaica,Green Mtn South,85,110080,870,,,ARTIFICIAL,Ball Mountain Reservoir Jamaica,Reservoir,43.13,-72.78,,
Bean (Sutton),Sutton,nek,30,BEAN (SUTTON),46,BEAN (SUTTON),BEAN (SUTTON),Bean Pond,Sutton,NE Kingdom,30,1208,1178,,,NATURAL,Bean Pond Sutton,Pond,44.6983842,-72.0862101,,
Beaver,Holland,nek,40,BEAVER (HOLLND),9,BEAVER (HOLLND),BEAVER (HOLLND),Beaver Pond,Holland,NE Kingdom,40,721,1535,80,30,NATURAL,Beaver Pond Holland,Pond,45.0047684,-71.9398184,,
Beebe (Hub),Hubbardton,wc,111,BEEBE (HUBDTN),245,BEEBE (HUBDTN),BEEBE (HUBDTN),Beebe Pond,Hubbardton,West Central,111,1843,618,43,26,NATURAL with ARTIFICIAL CONTROL,Beebe Pond Hubbardton,Lake (Artificial Control),43.7342306,-73.1831677,,
Beebe (Sund),Sunderland,gm-s,13,BEEBE (SUNDLD),172,BEEBE (SUNDLD),BEEBE (SUNDLD),Beebe Pond,Sunderland,Green Mtn South,8,161,2350,,,,Beebe Pond Sunderland,Pond,43.0523,-73.0320481,,
Beecher,Brighton,nek,15,BEECHER,29,BEECHER,BEECHER,Beecher Pond,Brighton,NE Kingdom,15,597,1227,,,,Beecher Pond Brighton,Pond,44.8117157,-71.849539,,
Berlin,Berlin,nc,293,BERLIN,99,BERLIN,BERLIN,Berlin Pond,Berlin,North Central,293,6738,976,59,27,NATURAL with ARTIFICIAL CONTROL,Berlin Pond Berlin,Lake (Artificial Control),44.18,-72.58,,
Big (Woodford Lake),Woodford,gm-s,31,BIG,184,BIG,BIG,Big Pond (Woodford Lake),Woodford,Green Mtn South,31,715,2265,28,13,NATURAL with ARTIFICIAL CONTROL,Big Pond Woodford,Lake (Artificial Control),42.88,-73.07,,
Black,Hubbardton,wc,20,BLACK (HUBDTN),245,BLACK (HUBDTN),BLACK (HUBDTN),Black Pond,Hubbardton,West Central,20,127,626,45,16,NATURAL,Black Pond Hubbardton,Pond,43.7031198,-73.2237234,,
Blake,Sheffield,nek,8,BLAKE,52,BLAKE,BLAKE,Unnamed Pond referred to by DEC as Blake,Windham,Green Mtn South,,,1780,,,,Blake Pond Windham,Pond,43.15,-72.72,,
Bliss,Calais,nc,46,BLISS,81,BLISS,BLISS,Bliss Pond,Calais,North Central,46,591,1211,15,7,NATURAL,Bliss Pond Calais,Pond,44.3525574,-72.5006635,,
Bomoseen,Castleton,wc,2360,BOMOSEEN,246,BOMOSEEN,BOMOSEEN,Lake Bomoseen,Castleton,West Central,2360,23630,411,65,27,NATURAL with ARTIFICIAL CONTROL,Lake Bomoseen Castleton,Lake (Artificial Control),43.6442324,-73.2131665,,
Bourn,Sunderland,gm-s,48,BOURN,172,BOURN,BOURN,Bourn Pond,Sunderland,Green Mtn South,55,410,2552,27,,NATURAL,Bourn Pond Sunderland,Pond,43.1061882,-73.0020474,,
Branch,Sunderland,gm-s,34,BRANCH,172,BRANCH,BRANCH,Branch Pond,Sunderland,Green Mtn South,34,315,2632,35,9,NATURAL,Branch Pond Sunderland,Pond,43.0809107,-73.0189922,,
Brownington,Brownington,nek,139,BROWNINGTON,26,BROWNINGTON,BROWNINGTON,Brownington Pond,Brownington,NE Kingdom,139,3365,991,33,18,NATURAL,Brownington Pond Brownington,Pond,44.8786588,-72.1476007,,
Bruce,Sutton,nc,27,BRUCE,46,BRUCE,BRUCE,Bruce Pond,Sheffield,North Central,27,369,1546,13,,NATURAL,Bruce Pond Sheffield,Pond,44.6403295,-72.187046,,
Buck,Woodbury,nc,39,BUCK,77,BUCK,BUCK,Buck Lake,Woodbury,North Central,39,225,1345,33,14,NATURAL,Buck Lake Woodbury,Lake,44.462555,-72.3995513,,
Burr,Sudbury,wc,85,BURR (SUDBRY),244,BURR (SUDBRY),BURR (SUDBRY),Burr Pond,Sudbury,West Central,85,1737,514,18,14,NATURAL with ARTIFICIAL CONTROL,Burr Pond Sudbury,Lake (Artificial Control),43.77,-73.18,,
Carmi,Franklin,cha-n,1401,CARMI,2,CARMI,CARMI,Lake Carmi,Franklin,Champlain ,1402,7710,435,33,13,NATURAL with ARTIFICIAL CONTROL,Lake Carmi Franklin,Lake (Artificial Control),44.9714333,-72.877911,,
Caspian,Greensboro,nc,789,CASPIAN,55,CASPIAN,CASPIAN,Caspian Lake,Greensboro,North Central,789,4510,1400,142,57,NATURAL with ARTIFICIAL CONTROL,Caspian Lake Greensboro,Lake (Artificial Control),44.58,-72.32,,
Monkton (Cedar),Monkton,cha-n,123,CEDAR,97,CEDAR,CEDAR,Cedar Lake (Monkton Pond),Monkton,Champlain ,123,752,492,13,6,NATURAL,Cedar Lake Monkton,Lake,44.2500546,-73.1328998,,
Center,Newark,nek,79,CENTER,43,CENTER,CENTER,Center Pond,Newark,NE Kingdom,79,3793,1310,72,24,,Center Pond Newark,Pond,44.7144953,-71.9198175,,
Chandler,Wheelock,nc,68,CHANDLER (WHLOCK),61,CHANDLER (WHLOCK),CHANDLER (WHLOCK),Chandler Pond,Wheelock,North Central,68,1050,1256,6,,NATURAL with ARTIFICIAL CONTROL,Chandler Pond Waterford,Pond,44.53,-72.1,,
Charleston (Charleston),Charleston,nek,40,CHARLESTON,24,CHARLESTON,CHARLESTON,Charleston Pond (Lubber Lake),Charleston,NE Kingdom,40,67936,1059,30,,ARTIFICIAL,Charleston Pond Charleston,Reservoir,44.8928256,-72.0531538,,
Chipman (Tinmouth),Tinmouth,wc,79,CHIPMAN,221,CHIPMAN,CHIPMAN,Chipman Lake (Tinmouth Pond),Tinmouth,West Central,79,535,1194,11,7,NATURAL,Chipman Lake Tinmouth,Lake,43.408405,-73.0301051,,
Chittenden,Chittenden,wc,702,CHITTENDEN,243,CHITTENDEN,CHITTENDEN,Chittenden Reservoir,Chittenden,West Central,702,10180,1495,46,26,ARTIFICIAL,Chittenden Reservoir Chittenden,Reservoir,43.73,-72.92,,
Clyde,Derby,nek,186,CLYDE,230,CLYDE,CLYDE,Clyde Pond,Derby,NE Kingdom,186,89292,878,20,11,ARTIFICIAL,Clyde Pond Derby,Reservoir,44.9353246,-72.1712124,,
Coits,Cabot,nc,40,COITS,202,COITS,COITS,Coits Pond,Cabot,North Central,40,325,1334,7,,NATURAL,Coits Pond Cabot,Pond,44.4472777,-72.3295486,,
Colby,Plymouth,wc,20,COLBY,146,COLBY,COLBY,Colby Pond,Plymouth,West Central,20,314,1572,16,,ARTIFICIAL,Colby Pond Plymouth,Reservoir,43.47,-72.67,,
Colchester,Colchester,cha-n,186,COLCHESTER,199,COLCHESTER,COLCHESTER,Colchester Pond,Colchester,Champlain ,186,1259,404,42,,NATURAL with ARTIFICIAL CONTROL,Colchester Pond Colchester,Lake (Artificial Control),44.5550488,-73.1195741,,
Cole,Jamaica,gm-s,41,COLE,168,COLE,COLE,Cole Pond,Jamaica,Green Mtn South,41,282,1193,13,5,NATURAL,Cole Pond Jamaica,Pond,43.1470213,-72.8056529,,
Coles,Walden,nc,125,COLES,72,COLES,COLES,Coles Pond,Walden,North Central,125,744,2194,21,8,NATURAL with ARTIFICIAL CONTROL,Coles Pond Walden,Lake (Artificial Control),44.52,-72.22,,
Collins,Hyde Park,nc,16,COLLINS,64,COLLINS,COLLINS,Collins Pond,Hyde Park,North Central,16,443,1225,20,,NATURAL,Collins Pond Hyde Park,Pond,44.6214402,-72.5042778,,
Comerford,Waterford,nek,777,COMERFORD,80,COMERFORD,COMERFORD,Comerford Reservoir,Barnet,NE Kingdom,777,307121,646,,,ARTIFICIAL,Comerford Reservoir Barnet,Reservoir,44.33,-72.02,,
Johnson Pond,Shrewsbury,wc,12,COOKS (SHRWBY),147,COOKS (SHRWBY),COOKS (SHRWBY),Cooks Pond,Shrewsbury,West Central,12,184,1753,,,,Cooks Pond Shrewsbury,Pond,43.5117366,-72.8539905,,
Cranberry Meadow,Woodbury,nc,28,CRANBERRY MEADOW,77,CRANBERRY MEADOW,CRANBERRY MEADOW,Cranberry Meadow Pond,Woodbury,North Central,28,1905,1092,23,,NATURAL,Cranberry Meadow Pond Woodbury,Pond,44.4208892,-72.4573301,,
Crescent,Sharon,ec,20,CRESCENT,135,CRESCENT,CRESCENT,Crescent Lake,Sharon,East Central,20,955,1162,,,,Crescent Lake Sharon,Lake,43.8,-72.42,,
Crystal,Barton,nek,763,CRYSTAL (BARTON),45,CRYSTAL (BARTON),CRYSTAL (BARTON),Crystal Lake,Barton,NE Kingdom,763,14453,945,115,71,NATURAL with ARTIFICIAL CONTROL,Crystal Lake Barton,Lake (Artificial Control),44.7467161,-72.1762128,,
Curtis,Calais,nc,72,CURTIS,81,CURTIS,CURTIS,Curtis Pond,Calais,North Central,72,917,1219,31,11,NATURAL with ARTIFICIAL CONTROL,Curtis Pond Calais,Lake (Artificial Control),44.38,-72.5,,
Cutter,Williamstown,ec,16,CUTTER,217,CUTTER,CUTTER,Cutter Pond,Williamstown,East Central,16,858,912,,,,Cutter Pond Williamstown,Pond,44.0906188,-72.5489933,,
Danby,Danby,wc,56,DANBY,153,DANBY,DANBY,Danby Pond,Danby,West Central,56,388,1403,6,,NATURAL,Danby Pond Danby,Pond,43.3650727,-73.0506606,,
Daniels Pond,Glover,nc,66,DANIELS,47,DANIELS,DANIELS,Daniels Pond,Glover,North Central,66,1079,1631,13,8,NATURAL,Daniels Pond Glover,Pond,44.6767173,-72.2626038,,
Daniels - West (Rodgers),Glover,nc,20,DANIELS-W,47,DANIELS-W,DANIELS-W,Unnamed Pond referred to by DEC as Daniels - W,Glover,North Central,20,441,1210,,,NATURAL,Daniels - W Pond Glover,Pond,44.68,-72.28,,
Derby,Derby,nek,207,DERBY,230,DERBY,DERBY,Lake Derby,Derby,NE Kingdom,207,1156,981,19,8,NATURAL,Lake Derby Derby,Lake,44.9542134,-72.1162109,,
Deweys Mill,Hartford,ec,56,DEWEYS MILL,140,DEWEYS MILL,DEWEYS MILL,Deweys MILL Pond,Hartford,East Central,56,969,545,,,ARTIFICIAL,Deweys Mill Pond Hartford,Reservoir,43.65,-72.4,,
Duck (Craftsbury),Craftsbury,nc,9,DUCK (CRAFBY),50,DUCK (CRAFBY),DUCK (CRAFBY),Duck Pond,Craftsbury,North Central,9,83,1130,,,,Duck Pond Craftsbury,Pond,44.6733838,-72.3651069,,
Dunmore,Salisbury,wc,985,DUNMORE,126,DUNMORE,DUNMORE,Lake Dunmore,Salisbury,West Central,985,13068,569,105,28,NATURAL with ARTIFICIAL CONTROL,Lake Dunmore Salisbury,Lake (Artificial Control),43.9020068,-73.0753915,,
East Long,Woodbury,nc,188,EAST LONG,77,EAST LONG,EAST LONG,East Long Pond,Woodbury,North Central,188,2223,1208,105,47,NATURAL with ARTIFICIAL CONTROL,East Long Pond Woodbury,Lake (Artificial Control),44.45,-72.35,,
Echo (Charleston),Charleston,nek,550,ECHO (CHARTN),24,ECHO (CHARTN),ECHO (CHARTN),Echo Lake,Charleston,NE Kingdom,550,15186,1249,129,58,NATURAL with ARTIFICIAL CONTROL,Echo Lake Charleston,Lake (Artificial Control),44.8603262,-71.994819,,
Echo (Hub),Hubbardton,wc,54,ECHO (HUBDTN),245,ECHO (HUBDTN),ECHO (HUBDTN),Echo Lake (Keeler Pond),Hubbardton,West Central,54,544,621,42,23,NATURAL,Echo Lake Hubbardton,Lake,43.7458969,-73.1828902,,
Echo (Plymouth),Plymouth,wc,104,ECHO (PLYMTH),146,ECHO (PLYMTH),ECHO (PLYMTH),Echo Lake,Plymouth,West Central,104,16816,1061,91,30,NATURAL,Echo Lake Plymouth,Lake,43.4734041,-72.6998192,,
Eden,Eden,nc,194,EDEN,197,EDEN,EDEN,Lake Eden,Eden,North Central,194,2347,1239,40,15,NATURAL with ARTIFICIAL CONTROL,Lake Eden Eden,Lake (Artificial Control),44.7225493,-72.5017778,,
