eventID,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,country,countryCode,locality,locationID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,type,ownerInstitutionCode,eventRemarks
2011-AMHERST-1,Area Survey,Observer Time,81,Acre,2011-07-16,,197,United States of America,USA,Plymouth,AMHERST,43.4856261,-72.7042639,WGS94,10,Event,VCE,
2011-BAKER (BARTON)-1,Area Survey,Observer Time,51,Acre,2011-07-16,,197,United States of America,USA,Barton,BAKER (BARTON),44.746438,-72.2348255,WGS94,10,Event,VCE,nesting
2011-BALD HILL-1,Area Survey,Observer Time,108,Acre,2011-07-16,,197,United States of America,USA,Westmore,BALD HILL,44.7394947,-71.9778742,WGS94,10,Event,VCE,
2011-BEAN (SUTTON)-1,Area Survey,Observer Time,30,Acre,2011-07-15,,196,United States of America,USA,Sutton,BEAN (SUTTON),44.6983842,-72.0862101,WGS94,10,Event,VCE,Friday pm
2011-BEAVER (HOLLND)-1,Area Survey,Observer Time,40,Acre,2011-07-16,,197,United States of America,USA,Holland,BEAVER (HOLLND),45.0047684,-71.9398184,WGS94,10,Event,VCE,
2011-BEEBE (HUBDTN)-1,Area Survey,Observer Time,111,Acre,2011-07-16,,197,United States of America,USA,Hubbardton,BEEBE (HUBDTN),43.7342306,-73.1831677,WGS94,10,Event,VCE,
2011-BEEBE (SUNDLD)-1,Area Survey,Observer Time,13,Acre,2011-07-16,,197,United States of America,USA,Sunderland,BEEBE (SUNDLD),43.0523,-73.0320481,WGS94,10,Event,VCE,henry 3 pm
2011-BERLIN-1,Area Survey,Observer Time,293,Acre,2011-07-16,,197,United States of America,USA,Berlin,BERLIN,44.18,-72.58,WGS94,10,Event,VCE,
2011-BLAKE-1,Area Survey,Observer Time,8,Acre,2011-07-16,,197,United States of America,USA,Sheffield,BLAKE,43.15,-72.72,WGS94,10,Event,VCE,
2011-BLISS-1,Area Survey,Observer Time,46,Acre,2011-07-16,,197,United States of America,USA,Calais,BLISS,44.3525574,-72.5006635,WGS94,10,Event,VCE,
2011-BOMOSEEN-1,Area Survey,Observer Time,2360,Acre,2011-07-16,,197,United States of America,USA,Castleton,BOMOSEEN,43.6442324,-73.2131665,WGS94,10,Event,VCE,
2011-BOURN-1,Area Survey,Observer Time,48,Acre,2011-07-16,,197,United States of America,USA,Sunderland,BOURN,43.1061882,-73.0020474,WGS94,10,Event,VCE,3pm
2011-BRANCH-1,Area Survey,Observer Time,34,Acre,2011-07-16,,197,United States of America,USA,Sunderland,BRANCH,43.0809107,-73.0189922,WGS94,10,Event,VCE,
2011-WINONA-1,Area Survey,Observer Time,248,Acre,2011-07-16,,197,United States of America,USA,Bristol,WINONA,44.1731125,-73.0870642,WGS94,10,Event,VCE,
2011-BROWNINGTON-1,Area Survey,Observer Time,139,Acre,2011-07-16,,197,United States of America,USA,Brownington,BROWNINGTON,44.8786588,-72.1476007,WGS94,10,Event,VCE,
2011-BRUCE-1,Area Survey,Observer Time,27,Acre,2011-07-16,,197,United States of America,USA,Sutton,BRUCE,44.6403295,-72.187046,WGS94,10,Event,VCE,1 ad flew off 8am (to Tildy?); 2 eggs in nest
2011-BUCK-1,Area Survey,Observer Time,39,Acre,2011-07-16,,197,United States of America,USA,Woodbury,BUCK,44.462555,-72.3995513,WGS94,10,Event,VCE,1 ad flew time??
2011-BURR (SUDBRY)-1,Area Survey,Observer Time,85,Acre,2011-07-16,,197,United States of America,USA,Sudbury,BURR (SUDBRY),43.77,-73.18,WGS94,10,Event,VCE,
2011-CARMI-1,Area Survey,Observer Time,1401,Acre,2011-07-16,,197,United States of America,USA,Franklin,CARMI,44.9714333,-72.877911,WGS94,10,Event,VCE,
