eventID,occurrenceID,basisOfRecord,recordedBy,individualCount,lifeStage,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,taxonRank,type,ownerInstitutionCode
2014-ROOD-1,2014-ROOD-1-00,HumanObservation,,0,,Absent,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2020-HARDWOOD-1,2020-HARDWOOD-1-Ad,HumanObservation,,2,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2017-NOYES-1,2017-NOYES-1-00,HumanObservation,,0,,Absent,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2012-GREAT AVERILL-1,2012-GREAT AVERILL-1-Ad,HumanObservation,,4,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2018-MCCONNELL-1,2018-MCCONNELL-1-00,HumanObservation,,0,,Absent,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2013-LOWER SYMES-1,2013-LOWER SYMES-1-Ch,HumanObservation,,1,Chick,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2014-WOODWARD-1,2014-WOODWARD-1-Ch,HumanObservation,,1,Chick,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2015-HARDWOOD-1,2015-HARDWOOD-1-00,HumanObservation,Isobel,0,,Absent,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2014-BURR (SUDBRY)-1,2014-BURR (SUDBRY)-1-00,HumanObservation,,0,,Absent,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2011-NEAL-1,2011-NEAL-1-Ad,HumanObservation,,2,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2021-CASPIAN-1,2021-CASPIAN-1-Ad,HumanObservation,,9,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2016-THURMAN W. DIX-1,2016-THURMAN W. DIX-1-Ad,HumanObservation,,3,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2012-PARKER-1,2012-PARKER-1-Ad,HumanObservation,,4,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2013-LITTLE SALEM-1,2013-LITTLE SALEM-1-00,HumanObservation,Eric,0,,Absent,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2017-MAIDSTONE-1,2017-MAIDSTONE-1-Ad,HumanObservation,,9,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2017-COLES-1,2017-COLES-1-Ad,HumanObservation,,2,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2016-GROTON-1,2016-GROTON-1-Ch,HumanObservation,,1,Chick,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2017-GREAT HOSMER-1,2017-GREAT HOSMER-1-Ch,HumanObservation,,1,Chick,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2019-CHANDLER (WHLOCK)-1,2019-CHANDLER (WHLOCK)-1-Ad,HumanObservation,,2,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2021-DEWEYS MILL-1,2021-DEWEYS MILL-1-00,HumanObservation,,0,,Absent,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
