Lake,Town,Observer,Date,Start,Stop,Ad,Ch,SA,Survey,Com
Abenaki,Thetford,,7/20/2019,,,0,,,1,
Adamant,Calais,,7/20/2019,,,0,,,1,
Amherst (Plymouth),Plymouth,,7/20/2019,,,0,,,1,
Arrowhead,Milton,,7/20/2019,,,0,,,1,
Baker (Barton),Barton,,7/20/2019,,,2,2,,1,
Bald Hill,Westmore,,7/20/2019,,,5,,,1,10:30 am 2A
Bean (Sutton),Sutton,,7/20/2019,,,1,1,,1,
Beaver,Holland,,7/20/2019,,,1,1,,1,
Beebe (Hub),Hubbardton,,7/20/2019,,,0,,,1,
Beebe (Sund),Sunderland,,7/20/2019,,,0,,,1,
Beecher,Brighton,,7/20/2019,,,2,1,,1,
Berlin,Berlin,,7/20/2019,,,4,,,1,
Bomoseen,Castleton,,7/20/2019,,,1,,,1,4A 7/23 near state park
Bourn,Sunderland,,7/20/2019,,,2,,,1,
Branch,Sunderland,,7/20/2019,,,2,1,,1,
Brownington,Brownington,,7/20/2019,,,2,,,1,
Bruce,Sutton,,7/20/2019,,,0,,,1,
Buck,Woodbury,,7/20/2019,,,2,1,,1,
Burr,Sudbury,,7/20/2019,,,1,,,1,
Carmi,Franklin,,7/20/2019,,,0,,,1,
Caspian,Greensboro,,7/20/2019,,,10,1,,1,
Center,Newark,,7/20/2019,,,3,,,1,
Chandler,Wheelock,,7/20/2019,,,2,1,,1,
Charleston (Charleston),Charleston,,7/20/2019,,,0,,,1,
Chittenden,Chittenden,,7/20/2019,,,2,2,,1,Lefferts 0Ad - not including as too marshy I think for loons
Clarks (Tildys),Glover,,7/20/2019,,,1,,,1,
Clyde,Derby,,7/20/2019,,,2,,,1,
Coits,Cabot,,7/20/2019,,,2,,,1,
Colby,Plymouth,,7/20/2019,,,2,,,1,
Colchester,Colchester,,7/20/2019,,,0,,,1,
Coles,Walden,,7/20/2019,,,2,1,,1,
Collins,Hyde Park,,7/20/2019,,,1,,,1,
Comerford,Waterford,,7/20/2019,,,0,,,1,
Crystal,Barton,,7/19/2019,,,2,,,1,7/19 survey
