Lake,Town,Observer,Date,Start,Stop,Adult,Chick,SubAdult,Survey,Comment
Adamant,Calais,,7/18/2020,,,0,,,1,
Amherst (Plymouth),Plymouth,,7/18/2020,,,2,,,1,
Arrowhead,Milton,,7/17/2020,,,0,,,1,17-Jul
Baker (Barton),Barton,,7/18/2020,,,2,1,,1,
Bald Hill,Westmore,,7/18/2020,,,3,,,1,
Bean (Sutton),Sutton,,7/18/2020,,,2,,,1,
Beaver,Holland,,7/18/2020,,,2,,,1,
Beebe (Hub),Hubbardton,,7/18/2020,,,3,,,1,
Beebe (Sund),Sunderland,,7/18/2020,,,0,,,1,
Beecher,Brighton,,7/18/2020,,,0,,,1,
Berlin,Berlin,,7/18/2020,,,2,1,,1,
Bomoseen,Castleton,,7/18/2020,,,0,,,1,1 A flyover
Bourn,Sunderland,,7/18/2020,,,2,1,,1,
Branch,Sunderland,,7/18/2020,,,2,1,,1,
Bristol (Winona),Bristol,,7/18/2020,,,0,,,1,
Brownington,Brownington,,7/18/2020,,,4,,,1,
Bruce,Sutton,,7/18/2020,,,2,,,1,
Buck,Woodbury,,7/18/2020,,,2,1,,1,
Burr,Sudbury,,7/18/2020,,,0,,,1,
Caspian,Greensboro,,7/18/2020,,,5,,,1,
Center,Newark,,7/18/2020,,,2,,,1,
Chandler,Wheelock,,7/18/2020,,,2,1,,1,
Charleston (Charleston),Charleston,,7/18/2020,,,0,,,1,
Chittenden,Chittenden,,7/18/2020,,,3,3,,1,
Clarks (Tildys),Glover,,7/18/2020,,,0,,,1,
Clyde,Derby,,7/18/2020,,,1,,,1,
Coits,Cabot,,7/18/2020,,,3,,,1,3rd Ad flew mid a.m.
Colby,Plymouth,,7/18/2020,,,0,,,1,
Colchester,Colchester,,7/18/2020,,,3,,,1,
Coles,Walden,,7/18/2020,,,2,2,,1,
Collins,Hyde Park,,7/18/2020,,,2,,,1,
Comerford,Waterford,,7/18/2020,,,2,,,1,
Cranberry Meadow,Woodbury,,7/18/2020,,,1,,,1,
Crystal,Barton,,7/18/2020,,,1,,,1,"5:30 am 2A, 1 flew"
Curtis,Calais,,7/18/2020,,,2,1,,1,
Daniels Pond,Glover,,7/18/2020,,,2,,,1,
Derby,Derby,,7/18/2020,,,3,,,1,
Dog (Valley),Woodbury,,7/18/2020,,,3,,,1,3rd Ad flew 9:30
Dunmore,Salisbury,,7/18/2020,,,2,2,,1,
East Long,Woodbury,,7/18/2020,,,2,1,,1,
Echo (Charleston),Charleston,,7/18/2020,,,5,1,,1,
Echo (Hub),Hubbardton,,7/18/2020,,,0,,,1,
Echo (Plymouth),Plymouth,,7/18/2020,,,0,,,1,
Eden,Eden,,7/18/2020,,,2,,,1,
Elligo,Greensboro,,7/18/2020,,,2,2,,1,
Elmore,Elmore,,7/18/2020,,,4,,,1,
Ewell,Peacham,,7/18/2020,,,1,,,1,
Fairfield,Fairfield,,7/18/2020,,,3,,,1,
Fairlee,Fairlee,,7/18/2020,,,0,,,1,
Fern,Leicester,,7/18/2020,,,0,,,1,1 Ad 5:45 a.m.
Flagg,Wheelock,,7/18/2020,,,0,,,1,
Forest,Averill,,7/18/2020,,,2,2,,1,
Fosters,Peacham,,7/18/2020,,,1,,,1,2 chicks present but not seen
Gale Meadows,Londonderry,,7/18/2020,,,0,,,1,
Glen,Fair Haven,,7/18/2020,,,2,,,1,
Great Averill,Averill,,7/18/2020,,,2,,,1,2 Ad in fight heading SW - to L. A or Norton?
Great Hosmer,Craftsbury,,7/18/2020,,,4,,,1,
Green River,Hyde Park,,7/18/2020,,,17,1,,1,
Greenwood,Woodbury,,7/18/2020,,,3,,,1,
Groton,Groton,,7/18/2020,,,3,1,,1,
Halls,Newbury,,7/18/2020,,,2,,,1,
Happenstance Farm,Goshen,,7/18/2020,,,1,,,1,
Hardwick,Hardwick,,7/18/2020,13:00,,2,1,,1,1:00 PM
Hardwood,Elmore,,7/18/2020,,,2,1,,1,
Harriman,Whitingham,,7/17/2020,,,2,,,1,17-Jul
Hartwell,Albany,,7/18/2020,,,0,,,1,1 Ad flew in 12:30 pm
Harveys,Barnet,,7/18/2020,,,8,,,1,
Holland,Holland,,7/18/2020,,,4,2,,1,
Hortonia,Hubbardton,,7/18/2020,,,2,,,1,
Indian Brook,Essex,,7/18/2020,,,0,,,1,
Inman,Fair Haven,,7/18/2020,,,0,,,1,
Iroquois,Hinesburg,,7/18/2020,,,2,2,,1,
Island,Brighton,,7/18/2020,,,3,,,1,possible SA
Jobs,Westmore,,7/18/2020,,,2,,,1,
Joe's,Danville,,7/18/2020,,,4,1,,1,
Keiser,Danville,,7/18/2020,,,1,,,1,likey 1A also on nest but not observed
Kent,Killington,,7/18/2020,,,2,2,,1,
Kettle,Peacham,,7/18/2020,,,3,,,1,
Knapp Br1,Cavendish,,7/18/2020,,,2,,,1,
Knapp Br2,Cavendish,,7/18/2020,,,0,,,1,
Levi,Groton,,7/18/2020,,,1,,,1,
Lewis,Lewis,,7/18/2020,,,2,,,1,
Little (Wells),Wells,,7/18/2020,,,0,,,1,
Little Averill,Averill,,7/18/2020,,,4,2,,1,
Little Salem,Derby,,7/18/2020,,,0,,,1,
Long (Eden),Eden,,7/18/2020,,,2,,,1,
Long (Greensboro),Greensboro,,7/18/2020,,,1,,,1,"1 on nest, missed"
Long (Sheffield),Sheffield,,7/18/2020,,,2,,,1,
Long (Westmore),Westmore,,7/18/2020,,,3,2,,1,
Lowell,Londonderry,,7/18/2020,,,4,2,,1,
Lower Symes,Ryegate,,7/18/2020,,,2,,,1,
Lyford,Walden,,7/18/2020,,,3,2,,1,2 chicks stashed
Maidstone,Maidstone,,7/18/2020,,,7,,,1,
Martin's,Peacham,,7/18/2020,14:00,,1,,,1,2:00 PM
May,Barton,,7/18/2020,,,4,,,1,
McConnell,Brighton,,7/18/2020,,,2,,,1,
Memphremagog,Derby,,7/18/2020,,,9,,,1,
Metcalf,Fletcher,,7/18/2020,,,4,,,1,2 Ad flew 8:45
Miles,Concord,,7/18/2020,,,2,1,,1,
Miller,Strafford,,7/18/2020,,,1,,,1,
Mollys,Cabot,,7/18/2020,,,0,,,1,2 chicks observed late july
Mollys Falls,Marshfield,,7/18/2020,,,2,1,,1,missed other family
Monkton (Cedar),Monkton,,7/18/2020,,,0,,,1,
Morey,Fairlee,,7/18/2020,,,1,,,1,
Mud (Hyde Park),Hyde Park,,7/18/2020,,,1,,,1,
Mud (Leicester),Leicester,,7/18/2020,,,0,,,1,
Mud (Peacham),Peacham,,7/18/2020,14:00,,0,,,1,2:00 PM
Nelson,Woodbury,,7/18/2020,,,6,,,1,3 flew 8:45
Newark,Newark,,7/18/2020,,,4,,,1,
Nichols,Woodbury,,7/18/2020,,,2,1,,1,
Ninevah,Mt. Holly,,7/18/2020,,,2,2,,1,
No. 10 (Mirror),Calais,,7/18/2020,,,2,1,,1,
Norton,Norton,,7/18/2020,,,10,1,,1,
Notch,Ferdinand,,7/18/2020,,,0,,,1,
Noyes,Groton,,7/18/2020,,,2,,,1,
Nulhegan,Brighton,,7/18/2020,,,0,,,1,
Old Marsh,Fair Haven,,7/18/2020,,,1,1,,1,2nd Ad flew 6:20 toward Inman
Parker,Glover,,7/18/2020,,,0,,,1,
Peacham,Peacham,,7/18/2020,,,5,,,1,
Pensioner,Charleston,,7/18/2020,,,2,1,,1,
Pigeon,Groton,,7/18/2020,,,2,,,1,
Raponda,Wilmington,,7/18/2020,,,2,,,1,
Rescue,Ludlow,,7/18/2020,,,0,,,1,
Ricker,Groton,,7/18/2020,,,2,1,,1,
Rood,Williamstown,,7/18/2020,,,1,,,1,
Round (Holland),Holland,,7/18/2020,,,0,,,1,
Round (Newbury),Newbury,,7/18/2020,,,0,,,1,
Round (Sheffield),Sheffield,,7/18/2020,,,0,,,1,
Sadawga,Whitingham,,7/18/2020,,,0,,,1,
Salem,Derby,,7/18/2020,,,1,,,1,
Searsburg,Searsburg,,7/18/2020,,,0,,,1,
Seymour,Morgan,,7/18/2020,,,18,,,1,
Shadow (Concord),Concord,,7/18/2020,,,3,,,1,
Shadow (Glover),Glover,,7/18/2020,,,3,,,1,
