locationName,locationTown,locationRegion,locationArea
Abenaki,Thetford,ec,44
Adamant,Calais,nc,20
Adams Res.,Woodford,gm-s,21
Amherst (Plymouth) ,Plymouth,wc,81
Arrowhead,Milton,cha-n,760
Baker (Barton),Barton,nc,51
Baker (Brookfield),Brookfield,ec,35
Bald Hill,Westmore,nek,108
Ball Mountain,Jamaica,gm-s,85
Bean (Sutton),Sutton,nek,30
Beaver,Holland,nek,40
Beebe (Hub),Hubbarton,wc,111
Beebe (Sund),Sunderland,gm-s,13
Beecher,Brighton,nek,15
Berlin,Berlin,nc,293
Big (Woodford Lake),Woodford,gm-s,31
Black,Hubbarton,wc,20
Blake,Sheffield,nek,8
Bliss,Calais,nc,46
Bomoseen,Castleton,wc,2360
Bourn,Sunderland,gm-s,48
Branch,Sunderland,gm-s,34
Bristol (Winona),Bristol,cha-n,248
Brownington,Brownington,nek,139
Bruce,Sutton,nc,27
Buck,Woodbury,nc,39
Burr,Sudbury,wc,85
Carmi,Franklin,cha-n,1401
Caspian,Greensboro,nc,789
Center,Newark,nek,79
Chandler,Wheelock,nc,68
Charleston (Charleston),Charleston,nek,40
Chipman (Tinmouth),Tinmouth,wc,79
Chittenden,Chittenden,wc,702
Clarks (Tildys),Glover,nc,33
Clyde,Derby,nek,186
Clyde River - Buck Flats,Charleston,nek,50
Coits,Cabot,nc,40
Colby,Plymouth,wc,20
Colchester,Colchester,cha-n,186
Cole,Jamaica,gm-s,41
Coles,Walden,nc,125
Collins,Hyde Park,nc,16
Comerford,Waterford,nek,777
Cranberry Meadow,Woodbury,nc,28
Crescent,Sharon,ec,20
Crystal,Barton,nek,763
Curtis,Calais,nc,72
Cutter,Williamstown,ec,16
Danby,Danby,wc,56
Daniels Pond,Glover,nc,66
Daniels - West (Rodgers),Glover,nc,20
Derby,Derby,nek,207
Deweys Mill,Quechee,ec,56
Dog (Valley),Woodbury,nc,88
Duck (Craftsbury),Craftsbury,nc,9
Dunmore,Salisbury,wc,985
East Long,Woodbury,nc,188
Echo (Charleston),Charleston,nek,550
Echo (Hub),Hubbarton,wc,54
Echo (Plymouth),Plymouth,wc,104
Eden ,Eden,nc,194
Elligo,Greensboro,nc,174
Elmore,Elmore,nc,219
Emerald,Dorset,wc,28
Ewell,Peacham,nc,51
Fairfield ,Fairfield,cha-n,446
Fairlee,Fairlee,ec,457
Fern,Leicester,wc,69
Flagg,Wheelock,nc,111
Forest,Averill,nek,62
Fosters,Peacham,nc,61
Gale Meadows,Londonderry,gm-s,195
Glen,Fair Haven,wc,206
Great Averill,Averill,nek,828
Great Hosmer,Craftsbury,nc,140
Green River,Hyde Park,nc,554
Greenwood,Woodbury,nc,96
Griffith,Peru,gm-s,13
Groton,Groton,nc,422
Grout,Stratton,gm-s,84
Halls,Newbury,ec,85
Happenstance Farm ,Goshen,wc,15
Hardwick,Hardwick,nc,145
Hardwood,new person?,nc,44
Harriman,Whitingham,gm-s,2040
Hartland dam,Hartland,ec,215
