LakeID,OfficialName,Town,LakeRegion,LakeArea,BasinArea,Elevation,MaxDepth,MeanDepth,OutletType,locationName,locationType,centerLatitude,centerLongitude
ABBEY,Abbey Pond,Ripton,West Central,3,433,1710,,,NATURAL,Abbey Pond Ripton,Pond,44.0336714,-73.0601163
ABENAKI,Lake Abenaki,Thetford,East Central,44,645,840,11,,NATURAL with ARTIFICIAL CONTROL,Lake Abenaki Thetford,Lake (Artificial Control),43.8328472,-72.2345354
ADAM,Adam Pond,Jamaica,Green Mtn South,7,186,900,,,,Adam Pond Jamaica,Pond,43.1089666,-72.7603735
ADAMS (ENOSBG),Adams Pond,Enosburgh,Champlain ,11,1477,850,,,,Adams Pond Enosburg,Pond,44.8808804,-72.7201307
ADAMS (WOODFD),Adams Reservoir,Woodford,Green Mtn South,21,821,2317,15,6,ARTIFICIAL,Adams Reservoir Woodford,Reservoir,42.886908,-73.03933
AINSWORTH,Unnamed pond referred to by DEC as Ainsworth,Williamstown,East Central,,,875,,,,Ainsworth Pond Williamstown,Pond,44.08,-72.57
ALBANY-NE,Unnamed pond referred to by DEC as Albany-NE,Albany,North Central,,,1635,,,,Albany-NE Pond Albany,Pond,44.75,-72.27
ALBERT LORD,Unnamed pond referred to by DEC as Albert Lord,Cavendish,East Central,7,62,1090,,,,Albert Lord Pond Cavendish,Pond,43.43,-72.55
ALDER,Unnamed pond referred to by DEC as Alder,Sunderland,Green Mtn South,,,2458,,,,Alder Pond Sunderland,Pond,43.07,-73.03
AMES,Unnamed pond referred to by DEC as Ames,Albany,North Central,,,1505,,,,Ames Pond Albany,Pond,44.7,-72.3
AMHERST,Amherst Lake,Plymouth,West Central,81,12204,1071,90,60,NATURAL with ARTIFICIAL CONTROL,Amherst Lake Plymouth,Lake (Artificial Control),43.4856261,-72.7042639
ANDOVER,Unnamed pond referred to by DEC as Andover,Andover,West Central,11,389,1545,,,,Andover Pond Andover,Pond,43.23,-72.75
ANNIS,Unnamed pond referred to by DEC as Annis,Barton,NE Kingdom,,,1185,,,,Annis Pond Barton,Pond,44.7,-72.1
ANSEL,Ansel Pond,Bethel,West Central,2,544,810,,,,Ansel Pond Bethel,Pond,43.8370111,-72.6173232
APPALACHIAN GAP,Unnamed Pond referred to by DEC as Appalachian Gap Pond,Buel's Gore,Champlain ,,,,,,,Appalachian Gap Pond Buel's Gore,Pond,44.212233,-72.934377
ARROWHEAD MOUNTAIN,Arrowhead Mountain Lake,Milton,Champlain ,760,442880,290,30,11,ARTIFICIAL,Arrowhead Mountain Lake Milton,Reservoir,44.67,-73.1
ATHENS,Athens Pond,Athens,Green Mtn South,21,356,1180,12,,NATURAL with ARTIFICIAL CONTROL,Athens Pond Athens,Lake (Artificial Control),43.1225778,-72.6039806
ATHENS-357,Unnamed pond referred to by DEC as Athens - 357,Athens,Green Mtn South,6,477,1170,,,,Athens - 357 Pond Athens,Pond,43.12,-72.6
AUSTIN,Austin Pond,Hubbardton,West Central,28,3137,442,7,,NATURAL with ARTIFICIAL CONTROL,Austin Pond Hubbardton,Lake (Artificial Control),43.72,-73.2
BABCOCK,Unnamed pond referred to by DEC as Babcock,Sharon,East Central,,,630,,,,Babcock Pond Sharon,Pond,43.73,-72.45
BACK,Back Pond,Brighton,NE Kingdom,10,2432,1180,,,,Back Pond Brighton,Pond,44.8142157,-71.8678726
BAILEY,Bailey Pond,Marshfield,North Central,17,3847,1250,,,,Bailey Pond Marshfield,Pond,44.33,-72.35
BAILEYS MILLS,Unnamed pond referred to by DEC as Baileys Mills,Chester,East Central,10,103,630,,,,Baileys Mills Pond Chester,Pond,43.3,-72.6
BAKER (BARTON),Baker Pond,Barton,North Central,51,1439,1152,30,16,NATURAL,Baker Pond Barton,Pond,44.746438,-72.2348255
BAKER (BRKFLD),Baker Pond,Brookfield,East Central,35,1067,1290,10,3,ARTIFICIAL,Baker Pond Brookfield,Reservoir,44.07,-72.63
BAKERSFIELD,Unnamed pond referred to by DEC as Bakersfield,Bakersfield,Champlain ,,,780,,,,Bakersfield Pond Bakersfield,Pond,44.82,-72.78
BAKERSFIELD-N,Unnamed pond referred to by DEC as Bakersfield - N,Bakersfield,Champlain ,10,197,720,,,,Bakersfield - N Pond Bakersfield,Pond,44.83,-72.78
BALD HILL,Bald Hill Pond,Westmore,NE Kingdom,108,2588,1794,42,16,NATURAL,Bald Hill Pond Westmore,Pond,44.7394947,-71.9778742
BALDWIN,Baldwin Pond,Starksboro,Champlain ,9,201,699,,,,Baldwin Pond Starksboro,Pond,44.2272783,-73.051787
BALL MOUNTAIN,Ball Mountain Reservoir,Jamaica,Green Mtn South,85,110080,870,,,ARTIFICIAL,Ball Mountain Reservoir Jamaica,Reservoir,43.13,-72.78
BANCROFT,Bancroft Pond,Plainfield,North Central,14,167,1470,12,,NATURAL,Bancroft Pond Plainfield,Pond,44.2472827,-72.382046
